candidate,constituencies,per,party,state
"Dharam Vira Gandhi",Patiala,9.29%,NAWPP,Punjab
"Rajesh Ranjan @ Pappu Yadav",Madhepura,5.18%,JAPL,Bihar
"HOLIRAM TERANG","Autonomous District",4.64%,ASDC,Assam
"Arun Kumar Mypathi","Mahabubabad  ",4.01%,TJS,Telangana
"Vidya Nand Ram","Samastipur (SC)",1.75%,WAP,Bihar
"TBC LALVENCHHUNGA",MIZORAM,1.68%,PRISMP,Mizoram
"Devendra Prasad Yadav",Jhanjharpur,1.38%,SJDD,Bihar
"Vaishali Sudhakar Yede",Yavatmal-Washim,1.08%,PHJSP,Maharashtra
"Md. Abul Kalam Azad",Supaul,0.81%,JHP,Bihar
"Radheshyam Inshan",Mirzapur,0.77%,BRPI,"Uttar Pradesh"
"Anil Jayram Rathod",Yavatmal-Washim,0.77%,BRPI,"Uttar Pradesh"
"Dr. Sudarshan Lohar","Keonjhar ",0.72%,RAIM,Odisha
"MANGALARAM KARMA",BASTAR,0.72%,ABSKP,Chhattisgarh
"KRISHNA MARDI",Singhbhum,0.68%,JMM(U),Jharkhand
"S R DARAPURI",Robertsganj,0.64%,AIPF,"Uttar Pradesh"
"Ramesh Kumar Mishra",Sitamarhi,0.63%,RAHIS,Bihar
"Bir Devinder Singh","Anandpur Sahib",0.61%,SADT,Punjab
"YALLA VENKATA RAMA MOHAN RAO (DORABABU)",Kakinada,0.61%,SADT,Punjab
"Vijendra Kumar",Sikar,0.61%,BJSTP,Rajasthan
"BIPIN NATH TIWARI ALIAS BIPIN TIWARI","Paschim Champaran",0.60%,LAJSP,Bihar
"Sunil Paswan","Gaya (SC)",0.58%,BBMP,Bihar
"MAHESHWARI DEVJIBHAI VACHHIYABHAI",Kachchh,0.58%,JKP,Jharkhand
"ARBIND KUMAR",Jahanabad,0.57%,ravp,Bihar
"ANAND KUMAR JHA",Madhubani,0.56%,AKBMP,Bihar
"TH. JAGDISH SINGH PARMAR",RAJGARH,0.55%,SamSP,"Madhya Pradesh"
"SRIHARI PATNAIK",Berhampur,0.55%,OPD,Odisha
"DAS SAMIRAN",Bolpur,0.54%,NPRP,Telangana
"KUMRAM VANDANA","Adilabad ",0.54%,NPRP,Telangana
"SUNIL JETHALAL VAGHELA",Jamnagar,0.53%,BKPP,"Uttar Pradesh"
"Upendra Singh Rajput",Firozabad,0.53%,BKPP,"Uttar Pradesh"
"Maheswar Hembram",Jhargram,0.52%,AKBJHP,"West Bengal"
"AMIT ATMARAM KORGAONKAR","North Goa",0.50%,RPI(KM),Goa
"SHAILESH KUMAR",Pataliputra,0.50%,BhAmAP,Bihar
"AVINASH SINGH SHARMA",CHANDIGARH,0.49%,CHKAP,Chandigarh
"K. Shyambabu Subudhi",Aska,0.49%,ADRP,Assam
"DILIP MORAN",Lakhimpur,0.49%,ADRP,Assam
AMIRUDDIN,"Kushi Nagar",0.48%,ADUP,"Uttar Pradesh"
PRABHUDAYAL,Robertsganj,0.48%,ADUP,"Uttar Pradesh"
"JYOTI RASHMI",Karakat,0.47%,RSWD,Bihar
"DR. B. L. VERMA",Pratapgarh,0.47%,BAEP,"Uttar Pradesh"
"ISRAR AHAMAD",Deoria,0.47%,BAEP,"Uttar Pradesh"
"HALPATI RAJESHBHAI BHANABHAI","Dadra And Nagar Haveli",0.46%,NSBHP,"Dadra & Nagar Haveli"
"BIRAJ ADHIKARI",Sikkim,0.46%,HMSKP,Sikkim
"Anil Anna",Dhule,0.44%,LKSGM,Maharashtra
NOTA,Kannauj,0.44%,YKP,Bihar
"SHIV KUMAR SINGH",Pataliputra,0.43%,APKSP,Bihar
"HARKA BAHADUR CHHETRI",Darjeeling,0.40%,AIJAP,"West Bengal"
"Advocate Vimla Arya",Almora,0.40%,UPP,Uttarakhand
"Sanjay Sardar",Supaul,0.37%,LSD,Bihar
NOTA,Wardha,0.37%,LSD,Bihar
"DHIRAJ KUMAR RAI",Sikkim,0.35%,SKPP,Sikkim
"Gyani Jaiswal",SIDHI,0.35%,SADSP,"Madhya Pradesh"
"AJAY KUMAR SHARMA",Jaunpur,0.34%,GJNP,Bihar
"ASHARAM RATNAKAR",JANJGIR-CHAMPA,0.34%,BJKVP,Bihar
"Chandra Prakash Meena",Dausa,0.34%,NPSF,Rajasthan
"P.V.A. Ananda Sagar",Vizianagaram,0.33%,SAPRP,"Andhra Pradesh"
"Sushma Kumari",Vaishali,0.33%,SAPRP,"Andhra Pradesh"
"JAHANGIR KHAN",Baramulla,0.33%,RMGP,Bihar
"Shiva Bihari Singhania",Muzaffarpur,0.33%,BhNP,Bihar
"SIBIL KANDULNA",Khunti,0.32%,RTSGP,Jharkhand
"LUHAR HAFIJHUSEN HAJINURMAHMAD",Sabarkantha,0.32%,RTSGP,Jharkhand
"JAYAPRAKASH SETHI",Puri,0.32%,AMiP,Bihar
"SUNIL KUMAR",Jaunpur,0.31%,RASJGP,"Uttar Pradesh"
"Ramchandra Prasad",Nalanda,0.31%,AJM,Assam
"Shiv Dutt Shukla",Allahabad,0.30%,ANNADATA,"Uttar Pradesh"
"M. SAVITHA",Arakkonam,0.30%,ANNADATA,"Uttar Pradesh"
"YELLA VENU GOPAL RAO",Narsapuram,0.30%,NVSP,"Andhra Pradesh"
"JANI KARAN",KHARGONE,0.29%,MPJVP,"Madhya Pradesh"
"D.Palya Khadar Subhan Khan",Chikkballapur,0.28%,SAJP,Karnataka
"JUBER AHMAD",Fatehpur,0.27%,mimm,Bihar
"Saroj Kumar Chaudhary",Darbhanga,0.27%,mimm,Bihar
"JUBER AHMAD",Fatehpur,0.27%,GPI,"Tamil Nadu"
"Saroj Kumar Chaudhary",Darbhanga,0.27%,GPI,"Tamil Nadu"
"Madan Lal Bhadoriya",VIDISHA,0.26%,PRSP,"Madhya Pradesh"
"Saurav Basu",Barasat,0.26%,skd,Odisha
"SAROJ KUMAR SATPATHY",Dhenkanal,0.26%,skd,Odisha
"PRABIR BANERJEE",Bankura,0.25%,JHAP,"West Bengal"
"VIPIN SINGH TIWARI",SATNA,0.25%,IPGP,Rajasthan
"Mohsin Sir Nasim Bhai",Aurangabad,0.24%,NNP,Maharashtra
"Dr. Swarn Singh",Faridkot,0.24%,ASJP,Punjab
"S. Krishna","Peddapalle ",0.24%,BLND,Bihar
"K. PANCHATCHARAM",Ramanathapuram,0.24%,BMtrP,Bihar
"AINUL HAQUE",Mangaldoi,0.24%,BMtrP,Bihar
"BABOO RAJENDRA DHOKE",BALAGHAT,0.24%,BMtrP,Bihar
"Bhai Vikas Prakash Nandve",Buldhana,0.23%,RaJSP,"West Bengal"
"AKSHASH KRISHNA",Etawah,0.23%,PHSP,"Uttar Pradesh"
"D. Thimmappa",Mahbubnagar,0.23%,PHSP,"Uttar Pradesh"
"RAJKISHORE PRASAD ALIAS PAPPU YADAV",Banka,0.23%,PHSP,"Uttar Pradesh"
"SUMESHWAR NATH TIWARI",Salempur,0.23%,RVLP,"Uttar Pradesh"
"MUKESH BANSOD",BALAGHAT,0.23%,RVLP,"Uttar Pradesh"
"VIKASH KUMAR ARYA",Munger,0.23%,NEP,"Uttar Pradesh"
"Jagdish alias Ayyappa Shamrao Sonawane",Maval,0.23%,NEP,"Uttar Pradesh"
"RAM KUMAR PANDEY",Shrawasti,0.23%,MNVP,"Uttar Pradesh"
"MANOJ KUMAR MISHRA",Deoria,0.23%,MNVP,"Uttar Pradesh"
NOTA,JABALPUR,0.23%,AKHP,Maharashtra
"Uttam Maroti Dhabe","Hingoli ",0.23%,AKHP,Maharashtra
"UMAMAHESWARA RAO CHERUKUPALLI","Khammam ",0.23%,TELYS,Telangana
"AMBIKAPATHI D","Nagapattinam ",0.22%,MSKK,"Tamil Nadu"
JATHEESH.A.P,Vadakara,0.22%,NALAP,Kerala
NOTA,Varanasi,0.22%,VPP,Gujarat
"MANI RAM BASUMATARY",Mangaldoi,0.22%,PGSP,"Uttar Pradesh"
C.Kalanithi,"Thiruvallur ",0.21%,RJAPU,"Uttar Pradesh"
"Sushil Kumar",Mohanlalganj,0.21%,ASGP,"Uttar Pradesh"
"RUKUM SHAH",KHANDWA,0.21%,AIUC,"Madhya Pradesh"
"Dr.DHANUSHKODI, M.",Virudhunagar,0.21%,NJP,Bihar
"CHILIVERU SRIKANTH","Karimnagar ",0.21%,NJP,Bihar
"Krishan dev Mandal",Supaul,0.21%,NJP,Bihar
"Purushotam Sharma",Nalanda,0.21%,NJP,Bihar
"PROF. DR. ARJUN GENA OHAL","Solapur ",0.21%,UKDD,Uttarakhand
"SHIV KUMAR","Kushi Nagar",0.20%,AKSP,"Uttar Pradesh"
"Pankaj Kumar",Muzaffarpur,0.20%,AAHPty,Bihar
"MANU SINGH MARAVI",DAMOH,0.20%,AAHPty,Bihar
"MOHD. MASROOR",Sambhal,0.20%,AAHPty,Bihar
"Navnath Bhimrao Patil",Madha,0.20%,HiPPa,Maharashtra
"Sukhdev Singh",Jalandhar,0.20%,RSMD,"Uttar Pradesh"
"AMAR SINGH MAHAUR",Aligarh,0.20%,RSMD,"Uttar Pradesh"
"RAJENDRA KUMAR","Jaipur Rural",0.19%,JHBHP,"Uttar Pradesh"
"MOHD. ZAHID",Bijnor,0.19%,JHBHP,"Uttar Pradesh"
"I.V. PAKKIR REDDY",Nandyal,0.19%,LD,"Uttar Pradesh"
"Ranganatha chary",Nawada,0.19%,LD,"Uttar Pradesh"
"OINAM JUGINDRO SINGH","Inner manipur",0.19%,MPEP,Manipur
"MAHASHAY TUDU",Rajmahal,0.19%,MPEP,Manipur
"Rakesh Kumar",Jamshedpur,0.19%,MPEP,Manipur
"ARJUN RAM","Bikaner (SC)",0.19%,AIPTMMK,"Tamil Nadu"
"SAKKARAVARTHY, P.",Virudhunagar,0.19%,AIPTMMK,"Tamil Nadu"
"HARI LAL",Sultanpur,0.18%,RaIP,"Uttar Pradesh"
"BHARAT DONG",Darjeeling,0.18%,grac,"West Bengal"
"Prem Prasad Arya","Nainital-udhamsingh Nagar",0.18%,SBM,Punjab
"Ali Azhar Ansari",Maharajganj,0.18%,SBM,Punjab
"Subash Chander",Jammu,0.18%,SBM,Punjab
"PARAMJIT SINGH (FAUJI BOOTHGARH)",Hoshiarpur,0.18%,SBM,Punjab
"Prem Prasad Arya","Nainital-udhamsingh Nagar",0.18%,PLM,Uttarakhand
"Ali Azhar Ansari",Maharajganj,0.18%,PLM,Uttarakhand
"Subash Chander",Jammu,0.18%,PLM,Uttarakhand
"PARAMJIT SINGH (FAUJI BOOTHGARH)",Hoshiarpur,0.18%,PLM,Uttarakhand
"Krishna Paswan",Arrah,0.18%,BKVP,Bihar
"Iqbal Ahmed Mohammed Rafeeque",Dhule,0.18%,JP,Bihar
"REETA TRIPATHI",REWA,0.18%,JP,Bihar
"Santosh Kumar",Lalganj,0.18%,JP,Bihar
"Rahul Narayan Bansode",Jalgaon,0.18%,AMPK,"Tamil Nadu"
"KISHAN LAL",Ghosi,0.18%,AMPK,"Tamil Nadu"
"RAJAKUMAR NAIDU, E.V.S.",Thoothukkudi,0.18%,TTNP,"Tamil Nadu"
"PRABHAT ROY","Cooch behar",0.18%,JeSM,"West Bengal"
HARSWAROOP,Hathras,0.18%,JeSM,"West Bengal"
"Mohan Sah",Sitamarhi,0.17%,BGanP,Assam
"ARUNKUMAR SAHU",BILASPUR,0.17%,BGanP,Assam
"Devji Gangaram Asole","Hingoli ",0.17%,BGanP,Assam
"Varsha Shivajirao Devsarkar","Hingoli ",0.17%,AYSRCP,"Andhra Pradesh"
"KUMBHA RAM MEENA",Churu,0.17%,AYSRCP,"Andhra Pradesh"
"Jitendra Kumar Barnwal",Godda,0.17%,AYSRCP,"Andhra Pradesh"
"Chandra Prakash Pandey",Kaiserganj,0.17%,KRUP,Odisha
"Baswaiah Madiga",CHEVELLA,0.17%,PJSP,Telangana
"Annaso Sukhadev Maske",Madha,0.17%,ADPT,Gujarat
"Ramrao Sawai Pawar",Yavatmal-Washim,0.17%,NED,"Himachal Pradesh"
"Arfan Ali",Barpeta,0.17%,NED,"Himachal Pradesh"
"Prem Chand Vishvakarma",Kangra,0.17%,NED,"Himachal Pradesh"
"SHRIRAM SINGH GAUR",Hamirpur,0.16%,SaDa,"Uttar Pradesh"
"Mohinder Kumar",Azamgarh,0.16%,SaDa,"Uttar Pradesh"
Gaurishankar,Jhansi,0.16%,KSRSP,"Uttar Pradesh"
"JAI PARKASH JAIN (TITU BANIYA)",Ludhiana,0.16%,KSRSP,"Uttar Pradesh"
"RAVI KUMAR. T",Kanniyakumari,0.16%,ALINLBP,"West Bengal"
"ANISUL AMBIA",Baharampur,0.16%,ALINLBP,"West Bengal"
"Md. Tabarok Hossain Molla",Basirhat,0.16%,ALINLBP,"West Bengal"
"SATHEESH KUMAR .T.N",Mandya,0.16%,ALINLBP,"West Bengal"
"SATHEESH KUMAR",Attingal,0.16%,ALINLBP,"West Bengal"
"NARENDRA PANDEY (RAM JI)",KHAJURAHO,0.16%,MMKA,"Tamil Nadu"
"Godwin Shadrach S R",Sriperumbudur,0.16%,MMKA,"Tamil Nadu"
"NARENDRA PANDEY (RAM JI)",KHAJURAHO,0.16%,JaSD,"Uttar Pradesh"
"Godwin Shadrach S R",Sriperumbudur,0.16%,JaSD,"Uttar Pradesh"
"B.C. RAMANATHA REDDY",Nandyal,0.16%,SMARTIP,"Madhya Pradesh"
LALITA,"Kushi Nagar",0.16%,RPP,Bihar
"Devendra Prasad Singh",Sheohar,0.16%,RPP,Bihar
"Rameshwar Sah",Vaishali,0.16%,RPP,Bihar
"Prabhat Kumar Giri",Saran,0.16%,RPP,Bihar
"Thimmaraj Gowda","Bangalore North",0.16%,RPP,Bihar
LALITA,"Kushi Nagar",0.16%,ABNNP,"Uttar Pradesh"
"Devendra Prasad Singh",Sheohar,0.16%,ABNNP,"Uttar Pradesh"
"Rameshwar Sah",Vaishali,0.16%,ABNNP,"Uttar Pradesh"
"Prabhat Kumar Giri",Saran,0.16%,ABNNP,"Uttar Pradesh"
"Thimmaraj Gowda","Bangalore North",0.16%,ABNNP,"Uttar Pradesh"
"SHASHANK SINGH BAGHEL",SATNA,0.16%,ASDHP,Bihar
"P. D. RAMANAYAKA",Bellary,0.16%,PRSHP,"Andhra Pradesh"
"Lalta Prasad Jayswal",SIDHI,0.15%,TNLK,"Tamil Nadu"
"KAMTA PRASAD PRAJAPATI",Hamirpur,0.15%,TNLK,"Tamil Nadu"
"NALLAM SURYA CHANDRA RAO",Narsapuram,0.15%,TRIPP,Tripura
"Kabrabam Dhirendra Singha","Tripura West",0.15%,TRIPP,Tripura
"Bijay bahadur Singh",Siwan,0.15%,RSTSAHP,Bihar
"C. SHANKARAPPA",Kolar,0.15%,RSTSAHP,Bihar
"M. P. VISHWAKARMA (MUNNA PRASAD)",CHHINDWARA,0.15%,RAPty,"Madhya Pradesh"
"Narayan Chandra Dey","Tripura West",0.15%,RAPty,"Madhya Pradesh"
"SARAVANAN, G.",Thoothukkudi,0.15%,RADM,"Himachal Pradesh"
"FIROZ KHAN",Sambhal,0.15%,RADM,"Himachal Pradesh"
"PAPPU CHAUHAN",Maharajganj,0.15%,SATKP,"Uttar Pradesh"
"S SUDERSHAN RAO","Andaman & Nicobar Islands",0.15%,SATKP,"Uttar Pradesh"
"ASHOK KUMAR PASWAN","Sasaram (SC)",0.15%,PMSP,"Uttar Pradesh"
"ASHOK KUMAR PASWAN","Sasaram (SC)",0.15%,PDS,"West Bengal"
"Manoj Kumar",Ujiarpur,0.15%,JRVP,Bihar
"MUTYAM ARJUNA RAJU","Khammam ",0.15%,JRVP,Bihar
"Adv. Sanjay Sharad Gangnaik","Ratnagiri - sindhudurg",0.15%,JRVP,Bihar
"KISHOR BABURAO MUNNEMANIK",Parbhani,0.15%,UKKD,Uttarakhand
Ankur,Karnal,0.15%,UKKD,Uttarakhand
"Dr. Gopal Prasad",Maharajganj,0.15%,BNSKP,Bihar
"VIDYA SHANKER PANDEY",Salempur,0.15%,BNSKP,Bihar
"Dhiman Vinod Bhivaji Patil","Ramtek ",0.14%,RASHLSP,"Uttar Pradesh"
"Sunil Nair",Ghaziabad,0.14%,RASHLSP,"Uttar Pradesh"
"MAHENDRA KUMAR TIWARI",REWA,0.14%,KSRP,"Madhya Pradesh"
"N.R. Prajapati",TIKAMGARH,0.14%,ANRP,"Madhya Pradesh"
"CHARAGONDA KRISHNAMMA",Nagarkurnool,0.14%,ANRP,"Madhya Pradesh"
"Ambedkari Hasnuram Ambedkari",Agra,0.14%,FPI,Odisha
"Sanjeev Kumar Mishra",Phulpur,0.14%,YVP,"Uttar Pradesh"
"ARUNACHALAM A",Erode,0.14%,YVP,"Uttar Pradesh"
"Uttam Dhanu Rathod",Jalna,0.14%,UTSAP,"West Bengal"
"Mizanoor Rahaman",Basirhat,0.14%,UTSAP,"West Bengal"
"Ramamohan D.G.",Hindupur,0.14%,SUTF,Sikkim
"Chitralekha Das",Barpeta,0.14%,SUTF,Sikkim
"SAPRA VIPUL R.",Surendranagar,0.14%,SUTF,Sikkim
"NARENDRA ADHIKARI",Sikkim,0.14%,SUTF,Sikkim
"SUMER CHAND",Kurukshetra,0.14%,JANKRPR,"Uttar Pradesh"
"ONKAR SINGH",Deoria,0.14%,SaSaP,"Uttar Pradesh"
"SATISH SOREN",Dumka,0.14%,SaSaP,"Uttar Pradesh"
"Dhanvanti Devi",Vaishali,0.14%,LCD,Bihar
"Badal Singh",Faridkot,0.14%,LCD,Bihar
"Jagmeet Singh",Faridkot,0.14%,AIUUK,"Tamil Nadu"
"KALASTHRI S",Tiruvannamalai,0.14%,AIUUK,"Tamil Nadu"
"Amrendra Kumar Yadav",Ujiarpur,0.14%,AIUUK,"Tamil Nadu"
"Nathalal Sukhadiya",Amreli,0.14%,PUDEP,Puducherry
"RAMESH PATIL",INDORE,0.14%,PUDEP,Puducherry
BASKARAN.S,Puducherry,0.14%,PUDEP,Puducherry
"RAM SINGH YADAV","Rae Bareli",0.14%,SUSP,Chhattisgarh
"NITESH KUMAR RATRE",JANJGIR-CHAMPA,0.14%,SUSP,Chhattisgarh
"RAGHUNI RAM SHASTRI","Sasaram (SC)",0.14%,SUSP,Chhattisgarh
"Gautam Baburao Waghchaure",Kalyan,0.14%,SUSP,Chhattisgarh
"MANOHARAN P",Tirunelveli,0.14%,SUSP,Chhattisgarh
"Dr. Hitesh Mahendrabhai","Ahmedabad East",0.14%,NIRBHP,Gujarat
"M. SELVARAJ",Idukki,0.14%,NIRBHP,Gujarat
"Ganesh Navnathrao Karande",Beed,0.14%,MAHKRS,Maharashtra
"DR. G. TONSANA SHARMA","Inner manipur",0.13%,MDPF,Manipur
"D PENNAPPA TURUVANUR",Chitradurga,0.13%,MDPF,Manipur
Garib,Machhlishahr,0.13%,MDPF,Manipur
"DR. G. TONSANA SHARMA","Inner manipur",0.13%,MHD,"Uttar Pradesh"
"D PENNAPPA TURUVANUR",Chitradurga,0.13%,MHD,"Uttar Pradesh"
Garib,Machhlishahr,0.13%,MHD,"Uttar Pradesh"
"Premnath Nishad","Ambedkar Nagar",0.13%,RJsbhP,Chhattisgarh
"GOLTAR BHAGVANBHAI MAIYABHAI",Surendranagar,0.13%,IRNP,Telangana
"VEERABHADRAPPA VEERAPPA KABBINADA URF BANDI",Haveri,0.13%,IRNP,Telangana
"RAJKUMAR LODHI",Fatehpur,0.13%,IRNP,Telangana
"E. Shivadurgavaraprasad Reddy",Mahbubnagar,0.13%,IRNP,Telangana
"PARMINDER SINGH HEERA KHALRA","Khadoor Sahib",0.13%,BTARP,"Madhya Pradesh"
"GOPAL BALAWANTRAO DESAI",Belgaum,0.13%,BTARP,"Madhya Pradesh"
"Jitendra Banshkar",TIKAMGARH,0.13%,SSBD,Chhattisgarh
"Om Guru Charandas",Allahabad,0.13%,SSBD,Chhattisgarh
"Advocate Shailendra Kumar Banjare",RAIPUR,0.13%,SSBD,Chhattisgarh
"MANIKANDAN, R.",Virudhunagar,0.13%,SSBD,Chhattisgarh
"Muttu S Surakod (Madar)",Bagalkot,0.13%,RJANSWP,Jharkhand
"A. AKHILESH",Alappuzha,0.13%,RJANSWP,Jharkhand
"SAMPATH R","Nagapattinam ",0.13%,NJANP,"Uttar Pradesh"
"RAJNI DEVI",Hazaribagh,0.13%,KPPU,"West Bengal"
"PULAPAKA RAJA SEKHAR",Visakhapatnam,0.13%,SaVP,"Madhya Pradesh"
"PHESAL ANSARI",Banka,0.13%,SaVP,"Madhya Pradesh"
"Rameshan Bandadka",Kasaragod,0.13%,SaVP,"Madhya Pradesh"
"LATA SURYAWANSHI",BHOPAL,0.13%,SaVP,"Madhya Pradesh"
MATHURA,Sultanpur,0.13%,SaVP,"Madhya Pradesh"
"Amit Jani",Giridih,0.12%,UPNSE,Jharkhand
"SHIV NARAYAN",Nagaur,0.12%,UPNSE,Jharkhand
"BALKAR SINGH","Fatehgarh Sahib",0.12%,ETMK,"Tamil Nadu"
"USHA KOTTARAKKARA","Mavelikkara ",0.12%,ETMK,"Tamil Nadu"
"PANTHAGADA VIJAYA CHAKRAVARTHY","Amalapuram ",0.12%,PNP,Kerala
"MURALIKRISHNA KANDERI","Amalapuram ",0.12%,PNP,Kerala
"PANDALAM KERALAVARMARAJA",Thiruvananthapuram,0.12%,PNP,Kerala
RAJARAM,Hathras,0.12%,PNP,Kerala
Rampal,Misrikh,0.12%,PNP,Kerala
"Rajnish Kumar Paswan",Nalanda,0.12%,ARP,Maharashtra
"Pramod Kumar",Kaiserganj,0.12%,SAKSP,"Uttar Pradesh"
"HAFIZ ALI",Gonda,0.12%,AIDMMK,"Tamil Nadu"
"P. RAMACHANDRAN","Chittoor ",0.12%,AIDMMK,"Tamil Nadu"
"KAVITHA, A.",Virudhunagar,0.12%,AIDMMK,"Tamil Nadu"
"Dr. RAMLAL MOHBARSHA",Pali,0.12%,IICR,Rajasthan
"MUKESH SINGH",Araria,0.12%,IICR,Rajasthan
"Sandeep Bhairavnath Kogale",Kolhapur,0.12%,LOKJANP,"Uttar Pradesh"
"JAGDEEP SINGH","Gautam Buddha Nagar",0.12%,LOKJANP,"Uttar Pradesh"
AMARJEET,Maharajganj,0.12%,IUC,"West Bengal"
"LACHHMAN SINGH","Fatehgarh Sahib",0.12%,SDU,"Uttar Pradesh"
"Sandip Abhimanyu Valvi","Nandurbar ",0.12%,MPP,"Andhra Pradesh"
"Sangita Kalyanrao Nirmal",Aurangabad,0.12%,MPP,"Andhra Pradesh"
"SWARNALATA SARKAR","Diamond harbour",0.12%,MPP,"Andhra Pradesh"
"GORAKH RAM",Karakat,0.12%,MPP,"Andhra Pradesh"
"Tulsi Dayal",Nawada,0.12%,MPP,"Andhra Pradesh"
"SUMBHANIA AAMIN ABASBHAI",Jamnagar,0.12%,MPP,"Andhra Pradesh"
"VENKATESAN M",Madurai,0.12%,DUUK,"Tamil Nadu"
SUNIL,BHARATPUR,0.12%,SWSP,Bihar
"Parmanand Gond",Siwan,0.12%,SWSP,Bihar
"VIJAY DNYANOBA GHATE",Shirdi,0.11%,RBS,Maharashtra
"N. KATHIRAVAN",Ramanathapuram,0.11%,RBS,Maharashtra
"VATAL NAGARAJ","Bangalore South",0.11%,KCVP,Karnataka
"Amit Tripathi",Akbarpur,0.11%,ABHP,"Uttar Pradesh"
"PAWAN KUMAR",Chatra,0.11%,ABHP,"Uttar Pradesh"
"SHIV Nandan Singh",Amethi,0.11%,BSKRP,"Uttar Pradesh"
"K. BIMALJI","Mavelikkara ",0.11%,NSCBRAP,"Uttar Pradesh"
"Manohar Lal Saroj",Shahjahanpur,0.11%,NSCBRAP,"Uttar Pradesh"
Luxman,Farrukhabad,0.11%,NSCBRAP,"Uttar Pradesh"
"Dhananjay Sharma",Kaiserganj,0.11%,NSCBRAP,"Uttar Pradesh"
"Gajanan Haribhau Bhalerao","Hingoli ",0.11%,NRCong,Assam
"Sukhchain Singh Bhargav",Bathinda,0.11%,NRCong,Assam
"RAM PRAVESH RAJAK",Pataliputra,0.11%,NRCong,Assam
"SHRI SURENDRA",INDORE,0.11%,SJSMP,"Uttar Pradesh"
"Prabhakar Tarapado Sadhu","Mumbai North West",0.11%,SJSMP,"Uttar Pradesh"
