candidate,constituencies,per,party,state
"SHER AFGAN",Faizabad,0.07%,NavaP,"Andhra Pradesh"
"KARIMULLA KHAN PATTAN",Rajampet,0.07%,NavaP,"Andhra Pradesh"
"DURGESH NANDAN SINGH alias DURGESH YADAV",Pataliputra,0.07%,NavaP,"Andhra Pradesh"
"T SASI",Thiruvananthapuram,0.07%,NavaP,"Andhra Pradesh"
"SHER AFGAN",Faizabad,0.07%,RJPD,Bihar
"KARIMULLA KHAN PATTAN",Rajampet,0.07%,RJPD,Bihar
"DURGESH NANDAN SINGH alias DURGESH YADAV",Pataliputra,0.07%,RJPD,Bihar
"T SASI",Thiruvananthapuram,0.07%,RJPD,Bihar
"P.RADHA KRISHNA",Anantapur,0.07%,RD,"Andhra Pradesh"
"AMIT KUMAR GUPTA","Patna Sahib",0.07%,RD,"Andhra Pradesh"
"RANK JIGNESHBHAI GOVINDBHAI",Porbandar,0.07%,RD,"Andhra Pradesh"
"MO. ATEEQ",Aonla,0.07%,RD,"Andhra Pradesh"
"P.RADHA KRISHNA",Anantapur,0.07%,NFFF,"Uttar Pradesh"
"AMIT KUMAR GUPTA","Patna Sahib",0.07%,NFFF,"Uttar Pradesh"
"RANK JIGNESHBHAI GOVINDBHAI",Porbandar,0.07%,NFFF,"Uttar Pradesh"
"MO. ATEEQ",Aonla,0.07%,NFFF,"Uttar Pradesh"
"Md. Hanif",Pilibhit,0.07%,BRKP(D),Rajasthan
"Raju Verma",Misrikh,0.07%,BRKP(D),Rajasthan
"GOPAL RAUT",Barrackpore,0.07%,BRKP(D),Rajasthan
"Kashinath Das","Kolkata Dakshin",0.07%,BRKP(D),Rajasthan
"Chandramohan M",Kallakurichi,0.07%,BRKP(D),Rajasthan
"Md. Hanif",Pilibhit,0.07%,VMMKT,"Tamil Nadu"
"Raju Verma",Misrikh,0.07%,VMMKT,"Tamil Nadu"
"GOPAL RAUT",Barrackpore,0.07%,VMMKT,"Tamil Nadu"
"Kashinath Das","Kolkata Dakshin",0.07%,VMMKT,"Tamil Nadu"
"Chandramohan M",Kallakurichi,0.07%,VMMKT,"Tamil Nadu"
"SATHI VEERALAKSHMI",Kakinada,0.07%,RVZP,Gujarat
"MAYURSINH VANRAJSINH ZALA",Sabarkantha,0.07%,RVZP,Gujarat
"VIKRAM SINGH",Kurukshetra,0.07%,RVZP,Gujarat
"Mukesh Rajesh Kuril",Jalgaon,0.07%,RVZP,Gujarat
"Bansilal Kataria",Sikar,0.07%,RVZP,Gujarat
"Vinay Kumar Varma",Jaipur,0.07%,RVZP,Gujarat
"RAJENDRA MARUTI KATE (PATIL)",Maval,0.07%,BhaRP,Chandigarh
"Jagdish Prasad Gautam",Mohanlalganj,0.07%,BhaRP,Chandigarh
"SUBHASH CHANDRA DOHRE",Kannauj,0.07%,BhaRP,Chandigarh
"SARABJEET SINGH SOHAL",CHANDIGARH,0.07%,BhaRP,Chandigarh
SATISH,Bulandshahr,0.07%,MSJP,"Uttar Pradesh"
"MUFTI SHIAK ABDUL GAFFAR",Bidar,0.07%,MSJP,"Uttar Pradesh"
Dasharath,Machhlishahr,0.07%,MSJP,"Uttar Pradesh"
"SOLIPURAM VENUGOPAL REDDY",Nalgonda,0.07%,MSJP,"Uttar Pradesh"
SATISH,Bulandshahr,0.07%,BBPP,"Uttar Pradesh"
"MUFTI SHIAK ABDUL GAFFAR",Bidar,0.07%,BBPP,"Uttar Pradesh"
Dasharath,Machhlishahr,0.07%,BBPP,"Uttar Pradesh"
"SOLIPURAM VENUGOPAL REDDY",Nalgonda,0.07%,BBPP,"Uttar Pradesh"
"Ikram Saifi",RAIPUR,0.07%,VIP,"Uttar Pradesh"
"KAMAL DASHRATH SAWANT","Ahmadnagar ",0.07%,VIP,"Uttar Pradesh"
"ONKAR SINGH UPPAL","Khadoor Sahib",0.07%,VIP,"Uttar Pradesh"
"P.S. SURESH",Arakkonam,0.07%,VIP,"Uttar Pradesh"
"Nagarajan S",Kallakurichi,0.07%,VIP,"Uttar Pradesh"
"JOSE THOMAS",Chalakudy,0.07%,VIP,"Uttar Pradesh"
"KAPIL YASHWANT DHAMANE",Bhiwandi,0.07%,kajp,"Uttar Pradesh"
"MADHU SUDAN YADAV",Bhubaneswar,0.07%,kajp,"Uttar Pradesh"
"UTHAMASELVAN, N.",Perambalur,0.07%,kajp,"Uttar Pradesh"
"Mahesh Shrivastav",Badaun,0.07%,kajp,"Uttar Pradesh"
KAPANIGOWDA,Tumkur,0.07%,kajp,"Uttar Pradesh"
"MURALEEDHARAN.K SANDRAM",Vadakara,0.07%,kajp,"Uttar Pradesh"
"PARDEEP BAWA",Ludhiana,0.07%,AHIMSASP,"Tamil Nadu"
"Bimla Devi Meena",Dausa,0.07%,AHIMSASP,"Tamil Nadu"
"RAMESH T",Namakkal,0.07%,AHIMSASP,"Tamil Nadu"
"GANESHAMOORTHY M",Erode,0.07%,AHIMSASP,"Tamil Nadu"
"Vadiraj Mannari Madhusudhan (Pandurangi)",Dharwad,0.07%,AHIMSASP,"Tamil Nadu"
Raja,Agra,0.07%,RVyP,"Uttar Pradesh"
"Ashitava Dutta",Silchar,0.07%,HIMJKP,"Himachal Pradesh"
"Subhash Chand",Kangra,0.07%,HIMJKP,"Himachal Pradesh"
"NEERADI PRAVEEN",Nizamabad,0.07%,HIMJKP,"Himachal Pradesh"
"NAGESWARA RAO LAKAVATH","Khammam ",0.07%,HIMJKP,"Himachal Pradesh"
"Anita Kiran Patole","Mumbai South central",0.07%,RaAD,"Uttar Pradesh"
"Anil Joya Meghwal",Jodhpur,0.07%,RaAD,"Uttar Pradesh"
"RAJESH BHARTI SURYA",Varanasi,0.07%,RaAD,"Uttar Pradesh"
"Sant Shri Baba Mahahansaji Maharaj Patil ",Jalgaon,0.07%,BHJMP,"Madhya Pradesh"
"Nilesh Anandrao Patil","Amravati ",0.07%,BHJMP,"Madhya Pradesh"
"Sathishkumar A",Kallakurichi,0.07%,BHJMP,"Madhya Pradesh"
"RAJESH KUMAR","Patna Sahib",0.07%,BHJMP,"Madhya Pradesh"
NOTA,Anantnag,0.07%,BHJMP,"Madhya Pradesh"
"DR. RAJENDRA TRIPATHI",SATNA,0.07%,BHJMP,"Madhya Pradesh"
"HARISH CHANDRA SAHU",BILASPUR,0.07%,BHJMP,"Madhya Pradesh"
"JANAIAH NANDIPATI",Nalgonda,0.07%,TSP,Telangana
"Gade Vinod Milind","Amravati ",0.07%,TSP,Telangana
"Manjit Kaur",Bathinda,0.07%,TSP,Telangana
"Comrade Om Parkash",Bhiwani-Mahendragarh,0.07%,TSP,Telangana
"HARI CHAND",Faridabad,0.07%,TSP,Telangana
"Awadhesh Kumar Singh",Gorakhpur,0.07%,SHF,"Uttar Pradesh"
"CHALLA RAM KALYAN",Secundrabad,0.07%,SHF,"Uttar Pradesh"
"Pradeep Mendonca","Bangalore central",0.07%,SHF,"Uttar Pradesh"
"RAJEEV NAGAN",Ernakulam,0.07%,SHF,"Uttar Pradesh"
"Pro. Dnyanesh Wakudkar",Wardha,0.07%,LJGP,Maharashtra
"M. B. Magare",Aurangabad,0.07%,LJGP,Maharashtra
"Surinder Kaur Mangat","Anandpur Sahib",0.07%,LJGP,Maharashtra
"SELVIN, B.",Thoothukkudi,0.07%,LJGP,Maharashtra
"HARIRAM SHAKYA",Mainpuri,0.07%,LJGP,Maharashtra
"THAKUR MANOJ SINGH",Aligarh,0.06%,RPC(S),"Andhra Pradesh"
"MEDA SRINIVAS",Rajahmundry,0.06%,RPC(S),"Andhra Pradesh"
"THAKUR MANOJ SINGH",Aligarh,0.06%,RPB,"Uttar Pradesh"
"MEDA SRINIVAS",Rajahmundry,0.06%,RPB,"Uttar Pradesh"
"VASAMSETTY VENKATARAMANA",Kakinada,0.06%,BND,"Uttar Pradesh"
"SOBRAN SINGH",GWALIOR,0.06%,BND,"Uttar Pradesh"
"AJAYSHYAM RAMLAKHAN MORYA",Kalyan,0.06%,BND,"Uttar Pradesh"
"PARVEEN YOGI",Baghpat,0.06%,BND,"Uttar Pradesh"
"VEDUBHAI KAUTIKBHAI SIRASAT","Ahmedabad West",0.06%,HAPa,Maharashtra
"ASHOK SINGH LODHI",JABALPUR,0.06%,HAPa,Maharashtra
"SANJEEV KUMAR",Kannauj,0.06%,HAPa,Maharashtra
"SUKHWANT SINGH CHUSLEWARH","Khadoor Sahib",0.06%,HAPa,Maharashtra
"ABDUL ASIPH",Kota,0.06%,HAPa,Maharashtra
"PASTAR THOMSAN MASSY","Fatehpur Sikri",0.06%,HAPa,Maharashtra
"Nadim Rana",Aurangabad,0.06%,NDEP,Karnataka
"ADVOCATE MOULVI ZAMERUDDIN",Bidar,0.06%,NDEP,Karnataka
"Mahendra Pratap Singh",Chandauli,0.06%,NDEP,Karnataka
"MOHD. YAHIYA SIDDIQUE","Mumbai North central",0.06%,JASWP,Telangana
"SURJIT SINGH",Firozpur,0.06%,JASWP,Telangana
"BHIM SINGH",Jhunjhunu,0.06%,JASWP,Telangana
"Pushpahenryraj S",Karur,0.06%,JASWP,Telangana
"PALLE PRASHANTH","Karimnagar ",0.06%,JASWP,Telangana
"ANNADURAI T S",Tiruvannamalai,0.06%,ManKP,"Uttar Pradesh"
"SABABATHI, S.",Perambalur,0.06%,ManKP,"Uttar Pradesh"
"JAYA GANESH, D.",Thoothukkudi,0.06%,ManKP,"Uttar Pradesh"
"Ramesh Chandra Verma",Shahjahanpur,0.06%,ManKP,"Uttar Pradesh"
"LALU NAIK RAMAVATH",Nalgonda,0.06%,ManKP,"Uttar Pradesh"
"Col. Narinder Pathania",Kangra,0.06%,ManKP,"Uttar Pradesh"
"V IQBAL AHEMAD",Davanagere,0.06%,ManKP,"Uttar Pradesh"
"N. Hanume Gowda","Bangalore North",0.06%,ManKP,"Uttar Pradesh"
"ANNADURAI T S",Tiruvannamalai,0.06%,BRPPA,Telangana
"SABABATHI, S.",Perambalur,0.06%,BRPPA,Telangana
"JAYA GANESH, D.",Thoothukkudi,0.06%,BRPPA,Telangana
"Ramesh Chandra Verma",Shahjahanpur,0.06%,BRPPA,Telangana
"LALU NAIK RAMAVATH",Nalgonda,0.06%,BRPPA,Telangana
"Col. Narinder Pathania",Kangra,0.06%,BRPPA,Telangana
"V IQBAL AHEMAD",Davanagere,0.06%,BRPPA,Telangana
"N. Hanume Gowda","Bangalore North",0.06%,BRPPA,Telangana
"Sushil Kumar",Jammu,0.06%,BKrD,"Uttar Pradesh"
"A.VIJAY POUL RAJA",Vellore,0.06%,BKrD,"Uttar Pradesh"
"Dr. Sita Ram Rajput",Pilibhit,0.06%,JRPa,"Uttar Pradesh"
"Ija Venkatesh Goud",CHEVELLA,0.06%,JRPa,"Uttar Pradesh"
"SALIMBHAI SHAHBUDINBHAI PATHAN",Surendranagar,0.06%,JRPa,"Uttar Pradesh"
Jagdish,Karnal,0.06%,JRPa,"Uttar Pradesh"
"DHANAMATNALLI VENKATESHAPPA",Kolar,0.06%,JRPa,"Uttar Pradesh"
"ELUMALAI K",Arani,0.06%,JRPa,"Uttar Pradesh"
"CHARAN SINGH",Aligarh,0.06%,JRPa,"Uttar Pradesh"
"Ramesh Ramkisan Gavhane",Beed,0.06%,DSPVAD,Maharashtra
"Dr. Sukhdeep Kaur","Anandpur Sahib",0.06%,DSPVAD,Maharashtra
"J. SEBASTIN","Chennai North",0.06%,DSPVAD,Maharashtra
"MANISHA SINGH","Fatehpur Sikri",0.06%,DSPVAD,Maharashtra
"Viruvuru Sudhakar","Tirupati ",0.06%,DSPVAD,Maharashtra
"Jerambhai R. Parmar",Amreli,0.06%,DSPVAD,Maharashtra
"GHANSHYAM CHAND THAKUR",Mandi,0.06%,DSPVAD,Maharashtra
"GANJI PURNIMA",Narsapuram,0.06%,BhBSP,"Uttar Pradesh"
"ABDUL NAZEER SAB",Davanagere,0.06%,BhBSP,"Uttar Pradesh"
"Suhas Dhananjay Bonde",Kalyan,0.06%,BhBSP,"Uttar Pradesh"
"RATHINASIGAMANI M",Tirunelveli,0.06%,BhBSP,"Uttar Pradesh"
"RAJINDER GHAI",Ludhiana,0.06%,BRP,Gujarat
"PRAJAPATI KANUBHAI AMATHARAM",Mahesana,0.06%,BRP,Gujarat
"NINGAPPA. B. D.",Mysore,0.06%,BRP,Gujarat
"NANDKISHOR SHAU",GWALIOR,0.06%,BRP,Gujarat
"RAJINDER GHAI",Ludhiana,0.06%,HSP,Punjab
"PRAJAPATI KANUBHAI AMATHARAM",Mahesana,0.06%,HSP,Punjab
"NINGAPPA. B. D.",Mysore,0.06%,HSP,Punjab
"NANDKISHOR SHAU",GWALIOR,0.06%,HSP,Punjab
"SURJIT SINGH","Khadoor Sahib",0.06%,SLDP,Punjab
"Sayyad Mujammil Sayyad Jamil",Beed,0.06%,RTJPS,"Uttar Pradesh"
"Moh. Mumtaz Raza",Kheri,0.06%,RTJPS,"Uttar Pradesh"
"PARIMI NARASIMHA RAO",Narasaraopet,0.06%,RTJPS,"Uttar Pradesh"
"SYED. ZABIULLA K",Davanagere,0.06%,RTJPS,"Uttar Pradesh"
"Anil Namdeorao Jamnekar","Amravati ",0.06%,NNMP,Haryana
"Ulaganathan T",Karur,0.06%,NNMP,Haryana
"JYOTI HIBANA",Kurukshetra,0.06%,NNMP,Haryana
"SUNDER BABURAO PADMUKH","Mumbai North central",0.06%,SBSPSP,"Uttar Pradesh"
Bahadur,Jammu,0.06%,VoP,Haryana
"VINAY KUMAR JAIN "VINNU BHAIYYA"""",JABALPUR,0.06%,VoP,Haryana
"NANDINI NALLAGHATLA",Vijayawada,0.06%,BNIP,"Uttar Pradesh"
"PRADEEP KUMAR.E.T PEEDIKATHODI VEEDU",Kozhikode,0.06%,BNIP,"Uttar Pradesh"
"SATHEESH SHENOI",Alappuzha,0.06%,BNIP,"Uttar Pradesh"
"Kalpana Rawat",Barabanki,0.06%,BNIP,"Uttar Pradesh"
"AYYAPPAN M",Tiruvannamalai,0.06%,BNIP,"Uttar Pradesh"
"UTTAR KUMAR JINDAL",Baghpat,0.06%,BNIP,"Uttar Pradesh"
"SHAHLA WAJID",Sambhal,0.06%,KJP,Karnataka
"K. SUDHAKARAN, S/o KUNHIRAMAN",Kannur,0.06%,KJP,Karnataka
"Dr. Yogita Bajpai",RAIPUR,0.06%,KJP,Karnataka
"JAGDISH KUMAR NIDAN",CHANDIGARH,0.06%,STBSP,Gujarat
"RAHUL CHIMANBHAI MEHTA",Gandhinagar,0.06%,STBSP,Gujarat
"Alanguru Kanakalakshmi",Chikkballapur,0.06%,STBSP,Gujarat
"BAROT KULDIPKUMAR BHARATKUMAR",Mahesana,0.06%,AIRCP,"Uttar Pradesh"
"AMANDEEP SINGH GHOTRA",Gurdaspur,0.06%,AIRCP,"Uttar Pradesh"
"VINOD SHARMA","Gautam Buddha Nagar",0.06%,AIRCP,"Uttar Pradesh"
"Neeruguttu Nagesh, M.A., Philosophy","Tirupati ",0.06%,JPD,"Andhra Pradesh"
"SHANMUGA PRABU,K.",Dindigul,0.06%,JPD,"Andhra Pradesh"
"Durgesh Singh",Amethi,0.05%,RtrJP,"Uttar Pradesh"
"ABDALLAH IBRAHIM",Secundrabad,0.05%,RtrJP,"Uttar Pradesh"
"Shrikant Ulhasrao Raibole","Amravati ",0.05%,RtrJP,"Uttar Pradesh"
"SHERSINGH UPADHAYA","Gautam Buddha Nagar",0.05%,RtrJP,"Uttar Pradesh"
"Vishvanath Sitaram Gargade",Baramati,0.05%,IMK,"Tamil Nadu"
"Harmesh Sharma","Anandpur Sahib",0.05%,IMK,"Tamil Nadu"
"M. RAGHUNATHAN","Cuddalore ",0.05%,IMK,"Tamil Nadu"
"Manoj Kumar",Kairana,0.05%,IMK,"Tamil Nadu"
"Dharmvir Balmiki",Shahjahanpur,0.05%,IMK,"Tamil Nadu"
"ARE SAYANNA",Nizamabad,0.05%,IMK,"Tamil Nadu"
"MOHD. JAMEEL",Nizamabad,0.05%,IMK,"Tamil Nadu"
"Krishna Kumar Yadav",Kheri,0.05%,LJSPty,"Uttar Pradesh"
"VIKAS GODARA",Hisar,0.05%,LJSPty,"Uttar Pradesh"
"COMRADE BALBEER SINGH",Sonipat,0.05%,LJSPty,"Uttar Pradesh"
"ADV. VIJAYA DILIP BAGDE","Nagpur ",0.05%,LJSPty,"Uttar Pradesh"
"Krishna Kumar Yadav",Kheri,0.05%,SJPI,Telangana
"VIKAS GODARA",Hisar,0.05%,SJPI,Telangana
"COMRADE BALBEER SINGH",Sonipat,0.05%,SJPI,Telangana
"ADV. VIJAYA DILIP BAGDE","Nagpur ",0.05%,SJPI,Telangana
"Ashokrao Shankarrao Chavan",Nanded,0.05%,FIP,"Tamil Nadu"
"Habibur Rehman",Kalyan,0.05%,FIP,"Tamil Nadu"
"Amol Ashokrao Jadhav","Mumbai North",0.05%,FIP,"Tamil Nadu"
"SUBI. T",Kanniyakumari,0.05%,FIP,"Tamil Nadu"
"Ehsan Ahmed",Azamgarh,0.05%,FIP,"Tamil Nadu"
"RAMKISHAN GOLA",Faridabad,0.05%,FIP,"Tamil Nadu"
"MOHAMMED ABDUL WAKEEL",Bidar,0.05%,FIP,"Tamil Nadu"
"KANAKAM SRINIVASARAO",Narasaraopet,0.05%,NNKP,"Andhra Pradesh"
"BHANJIBHAI SHEKHAVA",Surendranagar,0.05%,NNKP,"Andhra Pradesh"
"Kawaljeet Singh","Anandpur Sahib",0.05%,NNKP,"Andhra Pradesh"
"Bramhakumari Pramilaben",Madha,0.05%,ABEP,Maharashtra
J.S.K,Vellore,0.05%,ABEP,Maharashtra
"PAWAN KUMAR GOYAL",MORENA,0.05%,ABEP,Maharashtra
"PARMANAND TOLANI",INDORE,0.05%,BaVaP,"Uttar Pradesh"
"MOHAMMED AHMED KHAN (AHMED NETA)",Kalyan,0.05%,BaVaP,"Uttar Pradesh"
"Shahina Parveen Shakil Ahmed Khan","Mumbai North East",0.05%,BaVaP,"Uttar Pradesh"
"MD. ILIYASH KHAN","Inner manipur",0.05%,BaVaP,"Uttar Pradesh"
"Parminder Singh",Faridkot,0.05%,BaVaP,"Uttar Pradesh"
"NADAKUDITI NAGA GAYATHRI","Machilipatnam ",0.05%,BaVaP,"Uttar Pradesh"
"RAMA DEVI",Kannauj,0.05%,BaVaP,"Uttar Pradesh"
"GHANSHYAM SINGH YADAV",BHARATPUR,0.05%,VJNP,"Andhra Pradesh"
"PEDDIMSETTI. VENKATESWARARAO",Kakinada,0.05%,VJNP,"Andhra Pradesh"
"KONDA PRAVEEN KUMAR","Ongole ",0.05%,VJNP,"Andhra Pradesh"
"BHAVNABA JADEJA",Jamnagar,0.05%,VJNP,"Andhra Pradesh"
"S S SUBHAN KHAN",Davanagere,0.05%,VJNP,"Andhra Pradesh"
"SURENDER GUPTA","EAST DELHI                    ",0.05%,NAPt,"NCT OF Delhi"
"VARUN KUMAR JAGLAN",Ambala,0.05%,NAPt,"NCT OF Delhi"
"ARTI AGARWAL",Meerut,0.05%,JANSAPP,Gujarat
"DR. RANDHIR SINGH RUHAL",MORENA,0.05%,JANSAPP,Gujarat
NAVIN,Jaunpur,0.05%,JANSAPP,Gujarat
"Banmali Chhura",RAIPUR,0.05%,JANSAPP,Gujarat
"ARTI AGARWAL",Meerut,0.05%,BAAP,Maharashtra
"DR. RANDHIR SINGH RUHAL",MORENA,0.05%,BAAP,Maharashtra
NAVIN,Jaunpur,0.05%,BAAP,Maharashtra
"Banmali Chhura",RAIPUR,0.05%,BAAP,Maharashtra
"ARTI AGARWAL",Meerut,0.05%,BHBP,Chhattisgarh
"DR. RANDHIR SINGH RUHAL",MORENA,0.05%,BHBP,Chhattisgarh
NAVIN,Jaunpur,0.05%,BHBP,Chhattisgarh
"Banmali Chhura",RAIPUR,0.05%,BHBP,Chhattisgarh
"SHUBHANGI VIDYASAGAR CHAVAN ",Thane,0.05%,pjdl,Telangana
"HARPREET SINGH",Gurdaspur,0.05%,pjdl,Telangana
"MAGGIDI KATIPELLY RAJESH",Nizamabad,0.05%,pjdl,Telangana
"Nalla Prem Kumar",CHEVELLA,0.05%,pjdl,Telangana
"CHETAN CHAMAN","Bangalore South",0.05%,DAMK,"Tamil Nadu"
"Maraskolhe Bhojraj Isulal","Bhandara - gondiya",0.05%,DAMK,"Tamil Nadu"
"S. DIVYA",Vellore,0.05%,DAMK,"Tamil Nadu"
"RAMARAJ, G.","Theni ",0.05%,BPKP,Karnataka
"RAJKUMAR A",Tirunelveli,0.05%,BPKP,Karnataka
K.S.SOMASUNDER,Mysore,0.05%,BPKP,Karnataka
"RAMARAJ, G.","Theni ",0.05%,BHABHAPA,"Uttar Pradesh"
"RAJKUMAR A",Tirunelveli,0.05%,BHABHAPA,"Uttar Pradesh"
K.S.SOMASUNDER,Mysore,0.05%,BHABHAPA,"Uttar Pradesh"
"Prakash Sakharam Kalke",Raigad,0.05%,BSKP,"Uttar Pradesh"
"KATHIRVEL A",Erode,0.05%,BSKP,"Uttar Pradesh"
"BABLOO RAM",Bijnor,0.05%,BSKP,"Uttar Pradesh"
"Kadam Shrirang Uttamrao",Nanded,0.05%,JASP,"West Bengal"
"BHITORA BHAVESH CHIMANBHAI","Ahmedabad West",0.05%,JASP,"West Bengal"
"MAHABIR MEHRA CHHILARKI",Gurgaon,0.05%,JASP,"West Bengal"
"Shazad Shabnam",Jammu,0.05%,JASP,"West Bengal"
"RAM KALESH SAKET",REWA,0.05%,JASP,"West Bengal"
"NARESH KR SINGH","Kolkata Uttar",0.05%,JASP,"West Bengal"
"MAHENDER SINGH CHURIYANA","SOUTH DELHI                   ",0.05%,JASP,"West Bengal"
"Dr. RAKESH PRATAP",Varanasi,0.05%,ALHP,"Uttar Pradesh"
KUMAR,Ernakulam,0.05%,MKDVP,"NCT OF Delhi"
"Dakkhini Prasad Kushwaha",Phulpur,0.05%,MKDVP,"NCT OF Delhi"
"LAXMA NAIK BANOTH","Khammam ",0.05%,MKDVP,"NCT OF Delhi"
"ANU PANT","Tehri Garhwal",0.05%,AIMAK,"Tamil Nadu"
NAJIMUNNISSA,"Chennai central",0.05%,AIMAK,"Tamil Nadu"
"Kamaraj. K",Tiruchirappalli,0.05%,AIMAK,"Tamil Nadu"
"ROOPCHAND SINGH",Moradabad,0.05%,AIMAK,"Tamil Nadu"
"SANJAY KUMAR DHAR",Anantnag,0.05%,AIMAK,"Tamil Nadu"
"S MINI",Thiruvananthapuram,0.05%,AIMAK,"Tamil Nadu"
"Nyamatulla Shaik",Kadapa,0.05%,AIVP,"Tamil Nadu"
"VALARMATHI. K.","Chennai central",0.05%,AIVP,"Tamil Nadu"
"RAMESH T.R",Namakkal,0.05%,AIVP,"Tamil Nadu"
"RAJKUMAR POLIAH",Thoothukkudi,0.05%,AIVP,"Tamil Nadu"
"Nyamatulla Shaik",Kadapa,0.05%,UBM,"Tamil Nadu"
"VALARMATHI. K.","Chennai central",0.05%,UBM,"Tamil Nadu"
"RAMESH T.R",Namakkal,0.05%,UBM,"Tamil Nadu"
"RAJKUMAR POLIAH",Thoothukkudi,0.05%,UBM,"Tamil Nadu"
"Anbazhagan T",Karur,0.05%,AMKP,Karnataka
"ANIL BABAN HEGADE",Belgaum,0.05%,AMKP,Karnataka
"Raju Harishchandra Kamble",Dharwad,0.05%,AMKP,Karnataka
"Tilak Raj Munjal",Alwar,0.05%,BMJP,"Uttar Pradesh"
"SARVESH KUMAR","Fatehpur Sikri",0.05%,BMJP,"Uttar Pradesh"
"ARUN KUMAR",Etawah,0.05%,BMJP,"Uttar Pradesh"
"K.P. KAMBAGIRISWAMY.",Nandyal,0.05%,BMJP,"Uttar Pradesh"
"SANTOSH S. SOLANKI",Vadodara,0.05%,BMJP,"Uttar Pradesh"
"ADVOCATE PARVEEN YADAV WAZIRABAD",Gurgaon,0.05%,BMJP,"Uttar Pradesh"
"VIRENDER PRATAP SINGH","CHANDNI CHOWK                 ",0.05%,RTBHP,Karnataka
"Muttappa Mudakappa Hirekumbi",Bagalkot,0.05%,RTBHP,Karnataka
"KISHOR RAMBHAUJI KINKAR",Bhiwandi,0.05%,RTBHP,Karnataka
"Prakash Bhivaji Mahadik",Maval,0.05%,RTBHP,Karnataka
"A. MANIKANDAN","Cuddalore ",0.05%,APEP,"Tamil Nadu"
