candidate,constituencies,per,party,state
"RAMCHANDRA KRISHNA GAONKAR",Belgaum,0.05%,SAVIPA,Uttarakhand
"Varadan M",Karur,0.05%,SAVIPA,Uttarakhand
"GAUTAM SINGH BISHT","Tehri Garhwal",0.05%,SAVIPA,Uttarakhand
"Shrikant Suburao Shinde","Mumbai North East",0.05%,AYP,"Uttar Pradesh"
"Ghare Mohan Damodar",Shirur,0.05%,AYP,"Uttar Pradesh"
"Shamim Khan",Lucknow,0.05%,AYP,"Uttar Pradesh"
"Kamala Prasad",Phulpur,0.05%,AYP,"Uttar Pradesh"
"MEHAR SINGH",Mandi,0.05%,RBJJP,"Uttar Pradesh"
"LAXMINARAYAN JAGANNATH SINGH LODHI",JABALPUR,0.05%,RBJJP,"Uttar Pradesh"
"Anil Malviya Patrakar",VIDISHA,0.05%,RBJJP,"Uttar Pradesh"
"BRAJENDRA DUTT TRIPATHI",Varanasi,0.05%,AACP,"Uttar Pradesh"
"Chepuri Raju",CHEVELLA,0.05%,AACP,"Uttar Pradesh"
"Suresh Kumar Shukla",Amethi,0.04%,STPI,"West Bengal"
"Sudarsan Manna",Howrah,0.04%,STPI,"West Bengal"
"RAJ KAMAL SINGH",CHANDIGARH,0.04%,STPI,"West Bengal"
"PATHAN FIROZKHAN SAEEDKHAN",Gandhinagar,0.04%,NPT,"Andhra Pradesh"
"Sharad Damu Dhanrao",Nashik,0.04%,NPT,"Andhra Pradesh"
"SANJAY BALMIKI",Aligarh,0.04%,NPT,"Andhra Pradesh"
"Prof. Ramgopal Sankhwar",Akbarpur,0.04%,RAJUP,"Uttar Pradesh"
"Gangadhar Nathu Yadav",Shirur,0.04%,RAJUP,"Uttar Pradesh"
"SATISH CHANDRA SHARMA",Aligarh,0.04%,RAJUP,"Uttar Pradesh"
"CHATTAR alias CHATRAPAL SINGH NISHAD",Mathura,0.04%,RAJUP,"Uttar Pradesh"
Indrapal,Etah,0.04%,RAJUP,"Uttar Pradesh"
"Gurmeet Singh Insa",Bathinda,0.04%,AINPP,"Andhra Pradesh"
"BALDAU PRASAD SAHU",BILASPUR,0.04%,AINPP,"Andhra Pradesh"
"Gurmeet Singh Insa",Bathinda,0.04%,PLP,Punjab
"BALDAU PRASAD SAHU",BILASPUR,0.04%,PLP,Punjab
"Ishwar Sharma",Karnal,0.04%,KPJP,Karnataka
"Abdul Azeez","Bangalore North",0.04%,KPJP,Karnataka
"Pinjari Jainuddin Husain",Dhule,0.04%,IVD,"Uttar Pradesh"
R.ARULMURUGAN,"Chennai North",0.04%,IVD,"Uttar Pradesh"
"RAVINDER KUMAR",Saharanpur,0.04%,IVD,"Uttar Pradesh"
"NUTHAKKI RAMA RAO","Bapatla ",0.04%,IVD,"Uttar Pradesh"
"KIRTIKUMAR BAVANJIBHAI MARVANIA",Porbandar,0.04%,RMGLMP,Rajasthan
"Revanshiddappa Basavaraj Talawar",Dharwad,0.04%,RMGLMP,Rajasthan
"RAJ KUMAR SHAKYA (KORI)",BHOPAL,0.04%,RMGLMP,Rajasthan
"KRISHAN KUMAR JANGIR",Jhunjhunu,0.04%,RMGLMP,Rajasthan
"PADAVETTAN M",Tiruvannamalai,0.04%,RNNBP,Gujarat
"VIGNESHWARAN A",Tiruvannamalai,0.04%,RNNBP,Gujarat
"ARAVAAZHI. K",Mayiladuthurai,0.04%,RNNBP,Gujarat
"Bharat Singh",Etah,0.04%,RNNBP,Gujarat
"TRESSA DAVID",DURG,0.04%,RNNBP,Gujarat
"SACHIN G. KINDA",Navsari,0.04%,RNNBP,Gujarat
"GURUGUBILLI RAMBABU",Narsapuram,0.04%,BCUF,"Andhra Pradesh"
"D. MAHAMMAD RAFI .",Nandyal,0.04%,BCUF,"Andhra Pradesh"
"Sebastian Wayanad",Wayanad,0.04%,BCUF,"Andhra Pradesh"
D.Anandaraj,"Thiruvallur ",0.04%,BCUF,"Andhra Pradesh"
"Mangeram Kashyap",Muzaffarnagar,0.04%,BCUF,"Andhra Pradesh"
"Gautam Mitra","Kolkata Dakshin",0.04%,BCUF,"Andhra Pradesh"
"GURUGUBILLI RAMBABU",Narsapuram,0.04%,MKUP,"Uttar Pradesh"
"D. MAHAMMAD RAFI .",Nandyal,0.04%,MKUP,"Uttar Pradesh"
"Sebastian Wayanad",Wayanad,0.04%,MKUP,"Uttar Pradesh"
D.Anandaraj,"Thiruvallur ",0.04%,MKUP,"Uttar Pradesh"
"Mangeram Kashyap",Muzaffarnagar,0.04%,MKUP,"Uttar Pradesh"
"Gautam Mitra","Kolkata Dakshin",0.04%,MKUP,"Uttar Pradesh"
"Jackson. M. S.",Kanniyakumari,0.04%,DCLF,"Tamil Nadu"
"PRUTHVIRAJ GADEPALLI",Nizamabad,0.04%,DCLF,"Tamil Nadu"
"MOHINDER SINGH NAMDHARI",Amritsar,0.04%,LoRP,Gujarat
"Tej Singh Seny",Moradabad,0.04%,LoRP,Gujarat
"Thakur Jitendrasinh Surendrasinh","Ahmedabad East",0.04%,LoRP,Gujarat
"Bhatt Sunilkumar Narendrabhai","Ahmedabad East",0.04%,LoRP,Gujarat
"MADHAVILATA DINESHKUMAR MAURYA",Thane,0.04%,BSDL,Gujarat
"RABIYA AKHTAR",Bareilly,0.04%,BSDL,Gujarat
"Dr. N. T. SENGAL",Gandhinagar,0.04%,BSDL,Gujarat
"MADHAVILATA DINESHKUMAR MAURYA",Thane,0.04%,KHSNP,"Uttar Pradesh"
"RABIYA AKHTAR",Bareilly,0.04%,KHSNP,"Uttar Pradesh"
"Dr. N. T. SENGAL",Gandhinagar,0.04%,KHSNP,"Uttar Pradesh"
"Jubair Munshi Qureshi",Beed,0.04%,MYSP,Haryana
P.MARIMUTHU,"Chennai North",0.04%,MYSP,Haryana
"KUSUM PARASHAR",Sonipat,0.04%,MYSP,Haryana
"Adv. Mitesh Varshney","Mumbai North West",0.04%,NDDHP,"Andhra Pradesh"
"Samudrala Chinna Kotaiah",Guntur,0.04%,NDDHP,"Andhra Pradesh"
"Dr. KANUBHAI KHADADIYA",Navsari,0.04%,NDDHP,"Andhra Pradesh"
"Nandkumar Jagannath Chavhan",Dhule,0.04%,RJnPty,Maharashtra
"BRAMHADEV RAMBAKSHI PANDE",Thane,0.04%,RJnPty,Maharashtra
"NATARAJAN A",Erode,0.04%,RBP,"Uttar Pradesh"
"Anand Prakash Singh Rajput",Etah,0.04%,RBP,"Uttar Pradesh"
"Narukara Gopi",Wayanad,0.04%,RBP,"Uttar Pradesh"
"MEHABUB KHAN",MORENA,0.04%,RBP,"Uttar Pradesh"
"PRAKASH BALAPPA NESARKAR",Belgaum,0.04%,BNavP,"Uttar Pradesh"
"DILIP PRABHAKAR ALONI (JOSHI)",Thane,0.04%,BNavP,"Uttar Pradesh"
"Shahenaz Begum Mohd Siraj Khan","Mumbai North East",0.04%,BNavP,"Uttar Pradesh"
"HARJINDER SINGH",Amritsar,0.04%,BNavP,"Uttar Pradesh"
"RAVINDRA SINGH KATAR",Mainpuri,0.04%,BNavP,"Uttar Pradesh"
"RAHEESH MIYA",Bareilly,0.04%,BNavP,"Uttar Pradesh"
"MAHENDRA TIKLIYA",INDORE,0.04%,YuS,Gujarat
"Sasikumar A",Sriperumbudur,0.04%,YuS,Gujarat
"DORNALA JAYA PRAKASH",Hyderabad,0.04%,YuS,Gujarat
"Meda Malla Reddy",Nellore,0.04%,YuS,Gujarat
"KHODABHAI LALAJIBHAI DESAI",Gandhinagar,0.04%,YuS,Gujarat
"GERMANUS, S.",Thoothukkudi,0.03%,ABD,Haryana
"ESAKKIMUTHU. N",Kanniyakumari,0.03%,ABD,Haryana
"MAHENDER PASWAN","NORTH EAST DELHI              ",0.03%,ABD,Haryana
"Adv. HARI SHANKAR RAJVANS",Faridabad,0.03%,ABD,Haryana
"GERMANUS, S.",Thoothukkudi,0.03%,CDF,"Tamil Nadu"
"ESAKKIMUTHU. N",Kanniyakumari,0.03%,CDF,"Tamil Nadu"
"MAHENDER PASWAN","NORTH EAST DELHI              ",0.03%,CDF,"Tamil Nadu"
"Adv. HARI SHANKAR RAJVANS",Faridabad,0.03%,CDF,"Tamil Nadu"
"DR. VINOD KASHIRAM BADOLE","Nagpur ",0.03%,KKMP,Karnataka
"Abbas F. Chhatriwala","Mumbai   South",0.03%,KKMP,Karnataka
"DR. VINOD KASHIRAM BADOLE","Nagpur ",0.03%,ABSSP,Maharashtra
"Abbas F. Chhatriwala","Mumbai   South",0.03%,ABSSP,Maharashtra
"OMKAR NATH S. TIWARI",Thane,0.03%,SoJP,"NCT OF Delhi"
"DIGAMBAR YALAPPA BANSODE ",Thane,0.03%,SoJP,"NCT OF Delhi"
"SURESH KUMAR","NORTH WEST DELHI              ",0.03%,SoJP,"NCT OF Delhi"
HARIHARAN.K,Salem,0.03%,RJAVP,Haryana
"SHEKH HAMID RAMJAN",Navsari,0.03%,RJAVP,Haryana
"SUKHMANDAR SINGH KHARB",Sonipat,0.03%,RJAVP,Haryana
"LAXMAN BHIMARAO DALAVI",Belgaum,0.03%,RJAVP,Haryana
JYOTI,CHANDIGARH,0.03%,SPRP,"NCT OF Delhi"
"PRADESH KUMAR","NORTH EAST DELHI              ",0.03%,SPRP,"NCT OF Delhi"
ANITHA,Attingal,0.03%,SPRP,"NCT OF Delhi"
"HARMANDER SINGH",Firozpur,0.03%,SPRP,"NCT OF Delhi"
K.KANNAN,"Chennai South",0.03%,MKat,"Tamil Nadu"
"THIRUNAVUKKARASU. R",Mayiladuthurai,0.03%,MKat,"Tamil Nadu"
"LOURDES, S.",Thoothukkudi,0.03%,MKat,"Tamil Nadu"
"SOHAN LAL SHARMA","CHANDNI CHOWK                 ",0.03%,REALDP,Gujarat
"Dhameliya Piyush Vallabhbhai (R.D.P)",Surat,0.03%,REALDP,Gujarat
"ABDUL HAMEED","Dakshina Kannada",0.03%,REALDP,Gujarat
"MANGAL SINGH",Gurdaspur,0.03%,DPI,Punjab
"KANNAPIRAN. M",Mayiladuthurai,0.03%,DPI,Punjab
"MANGAL SINGH",Gurdaspur,0.03%,SACP,"Uttar Pradesh"
"KANNAPIRAN. M",Mayiladuthurai,0.03%,SACP,"Uttar Pradesh"
"Deepak Khandu Amrutkar",Dhule,0.03%,ABLP,"Uttar Pradesh"
"ASIM ALI","Nagpur ",0.03%,ABLP,"Uttar Pradesh"
"Sonalitai Thorat",Shirur,0.03%,ABLP,"Uttar Pradesh"
"KASHMIR SINGH",Amritsar,0.03%,ABLP,"Uttar Pradesh"
"MANOJ RANA",Baghpat,0.03%,ABLP,"Uttar Pradesh"
"MANJEET SINGH","EAST DELHI                    ",0.03%,ABLP,"Uttar Pradesh"
"SHRIPRAKASH SHUKLA",Navsari,0.03%,ABLP,"Uttar Pradesh"
PRADEEP.V.K,Kozhikode,0.03%,ABLP,"Uttar Pradesh"
"Satya Pal",Bhiwani-Mahendragarh,0.03%,RAHM,"West Bengal"
"LAXMI SUNIL MUTAGEKAR",Belgaum,0.03%,RAHM,"West Bengal"
"VISHWANATH RAGHUNATH BUWAJI",Belgaum,0.03%,RAHM,"West Bengal"
"IRINJAYAM SURESH",Attingal,0.03%,RAHM,"West Bengal"
"PONNUSAMY, M.",Thoothukkudi,0.03%,RAHM,"West Bengal"
"JASPER GNANA MARTIN, G.",Thoothukkudi,0.03%,RAHM,"West Bengal"
"MANMOHAN GARODIA","Kolkata Uttar",0.03%,RAHM,"West Bengal"
"RICHA KATIYAR KANAUJIA","CHANDNI CHOWK                 ",0.03%,BPC,"NCT OF Delhi"
"RAM KUMAR","NORTH WEST DELHI              ",0.03%,BPC,"NCT OF Delhi"
"MIRZA SAJAD HUSSAIN BEIGH",Anantnag,0.03%,BPC,"NCT OF Delhi"
"ADV VIVEK K VIJAYAN",Ernakulam,0.03%,BPC,"NCT OF Delhi"
"ADV. VANSH BAHADUR SABHAJEET YADAV","Mumbai North central",0.03%,RHSP,"NCT OF Delhi"
"CHAIN SINGH BAINKA",Amritsar,0.03%,RHSP,"NCT OF Delhi"
"MAKRANI AJAZAHMED",Jamnagar,0.03%,AJNSP,Haryana
"SHARMA RAJMAL MOHANLAL (GABBAR)",Navsari,0.03%,AJNSP,Haryana
"Ishwar Chand Salwan",Karnal,0.03%,AJNSP,Haryana
"K.C.NAGABHUSHANA REDDY","Bangalore South",0.03%,AJNSP,Haryana
"JOHNSON K C",Chalakudy,0.03%,AJNSP,Haryana
"MD IMTIAZ KHAN","Kolkata Uttar",0.03%,AJNSP,Haryana
"RAJU KHATIK URPH LALU",BILASPUR,0.03%,AJNSP,Haryana
"JADHAV PRABHAKAR ANANT",Thane,0.03%,AJNSP,Haryana
"Rajesh B. Dayal","Mumbai   South",0.03%,AJNSP,Haryana
"Aftab Mashwood Khan","Mumbai North West",0.03%,FJP,"Uttar Pradesh"
"BHISHM JIT SINGH",Moradabad,0.03%,FJP,"Uttar Pradesh"
"AAMIN MAMADBHAI SAFIYA",Jamnagar,0.03%,FJP,"Uttar Pradesh"
"R . LAXMAN RAO GANGAPUTRA",Secundrabad,0.03%,BDPty,"Uttar Pradesh"
"Vijay Marothi Koyale","Mumbai North West",0.03%,BDPty,"Uttar Pradesh"
"Sanjay Baba Bansode",Shirur,0.03%,BDPty,"Uttar Pradesh"
"PRABHAKARAN. N.","Chennai central",0.03%,BDPty,"Uttar Pradesh"
Sheshraj,Kairana,0.03%,BDPty,"Uttar Pradesh"
"Girish Narain Pande",Lucknow,0.03%,BSPM,"Uttar Pradesh"
"Meraj Bi Husain Khan",Dhule,0.03%,BSPM,"Uttar Pradesh"
"Nitin Murlidhar Kuchekar",Shirur,0.03%,BSPM,"Uttar Pradesh"
RAJA.A,Salem,0.03%,BSPM,"Uttar Pradesh"
"RAJESH. P",Mayiladuthurai,0.03%,BSPM,"Uttar Pradesh"
"YATENDRA SINGH",Bareilly,0.03%,BSPM,"Uttar Pradesh"
"Y. RAJITHA",Nizamabad,0.03%,RAKRD,Maharashtra
"JITENDRABHAI PREMNATH MISHRA",Navsari,0.03%,RAKRD,Maharashtra
"Dharmendra Shriram Pal","Mumbai North West",0.03%,RAKRD,Maharashtra
"RAGHUVENDRA KUMAR","Gautam Buddha Nagar",0.03%,RAKRD,Maharashtra
"RAJESH SHARMA",Sonipat,0.03%,KARASP,"Uttar Pradesh"
"B. Krishna Prasad","Bangalore central",0.03%,KARASP,"Uttar Pradesh"
"AKSHAY KACHARU SANAP","Mumbai North central",0.03%,KARASP,"Uttar Pradesh"
J.DHARANIDHARAN,"Chennai North",0.03%,KARASP,"Uttar Pradesh"
B.KARTHIKEYAN,"Chennai South",0.03%,KARASP,"Uttar Pradesh"
"NASAR. K.","Chennai central",0.03%,KARASP,"Uttar Pradesh"
Ashok,Muzaffarnagar,0.03%,KARASP,"Uttar Pradesh"
"KIRAN R. C. JATAV",Meerut,0.03%,KARASP,"Uttar Pradesh"
"RAJESH SHARMA",Sonipat,0.03%,NIP,Telangana
"B. Krishna Prasad","Bangalore central",0.03%,NIP,Telangana
"AKSHAY KACHARU SANAP","Mumbai North central",0.03%,NIP,Telangana
J.DHARANIDHARAN,"Chennai North",0.03%,NIP,Telangana
B.KARTHIKEYAN,"Chennai South",0.03%,NIP,Telangana
"NASAR. K.","Chennai central",0.03%,NIP,Telangana
Ashok,Muzaffarnagar,0.03%,NIP,Telangana
"KIRAN R. C. JATAV",Meerut,0.03%,NIP,Telangana
K.KATHIRAVAN,Vellore,0.03%,UDFS,"Uttar Pradesh"
"Mohd. Khushi",Rampur,0.03%,UDFS,"Uttar Pradesh"
"ASHUTOSH KUMAR PANDEY",Varanasi,0.03%,UDFS,"Uttar Pradesh"
"NADISHARAM MALLAIAH",Nizamabad,0.03%,UDFS,"Uttar Pradesh"
"G . LAXMINARSIMHA RAO",Secundrabad,0.03%,TGPJP,Telangana
"SHIVARAJ NARAYAN PATIL",Belgaum,0.03%,PUNP,Maharashtra
"Adv. Ramesh Devaram Dharmavat",Pune,0.03%,PUNP,Maharashtra
"Ullagi David Jayakumar (Dr. D J Kumar)",Guntur,0.03%,HMRD,"Andhra Pradesh"
Satbir,Bhiwani-Mahendragarh,0.03%,HMRD,"Andhra Pradesh"
"Nagendra Kumar",Ghaziabad,0.03%,HMRD,"Andhra Pradesh"
DHARMENDRA,Meerut,0.03%,BaJD,"Uttar Pradesh"
"NOBY AUGUSTINE",Chalakudy,0.03%,BaJD,"Uttar Pradesh"
"Zafarullah Gulam Rab Sayyed",Kalyan,0.03%,AlPP,"Andhra Pradesh"
C.ROSI,"Chennai South",0.03%,AlPP,"Andhra Pradesh"
"Ganesh Chaudhari",Lucknow,0.03%,AlPP,"Andhra Pradesh"
"MOHD AHMED",Hyderabad,0.03%,AlPP,"Andhra Pradesh"
"MUNNA LAL","CHANDNI CHOWK                 ",0.03%,AlPP,"Andhra Pradesh"
"THUMATI RAVI","Bapatla ",0.03%,AlPP,"Andhra Pradesh"
"PASVAN VIRENDRA",Navsari,0.03%,AlPP,"Andhra Pradesh"
"CHRISTOPHER SHAJU PALIYODE",Thiruvananthapuram,0.03%,AlPP,"Andhra Pradesh"
"PENTA NARSAIAH",Nizamabad,0.03%,MARD,"Uttar Pradesh"
"JITENDRA RAUT","NEW DELHI                     ",0.03%,MARD,"Uttar Pradesh"
"SURABHI DEVASAHAYAM",Narasaraopet,0.03%,MARD,"Uttar Pradesh"
"Tulsibhai Laxmanbhai Dakhara",Surat,0.03%,MARD,"Uttar Pradesh"
"ABDUL BASEETH",Mayiladuthurai,0.03%,MARD,"Uttar Pradesh"
MOHAN,Sonipat,0.02%,swbi,"Madhya Pradesh"
"ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK",BHOPAL,0.02%,swbi,"Madhya Pradesh"
"M. G. SAI BABA",Secundrabad,0.02%,swbi,"Madhya Pradesh"
"N. Narayana Swamy","Bangalore North",0.02%,JVBP,Karnataka
R.SHEKAR,"Bangalore South",0.02%,JVBP,Karnataka
"NAWAB ALI",CHANDIGARH,0.02%,JVBP,Karnataka
"Pravin Chandrakant Kedare","Mumbai North East",0.02%,JVBP,Karnataka
"DINAKARAN. G.","Chennai central",0.02%,JVBP,Karnataka
"Vinay Dubey",Kalyan,0.02%,SFP,"Uttar Pradesh"
"DR. JAGBIR SINGH",Sonipat,0.02%,SFP,"Uttar Pradesh"
DAYARAM,"Gautam Buddha Nagar",0.02%,NYP,"NCT OF Delhi"
"Putha Lakshmi Reddy",Kadapa,0.02%,RDHP,"Andhra Pradesh"
"PRANAM PRAKASH PATIL",Belgaum,0.02%,RDHP,"Andhra Pradesh"
"L. Nagaraj","Bangalore North",0.02%,RDHP,"Andhra Pradesh"
G.DEVASAHAYAM,"Chennai South",0.02%,RDHP,"Andhra Pradesh"
"MUKESH KUMAR SINGH",Faridabad,0.02%,LPSP,Haryana
"MAHESH PRATAP SHARMA",Faridabad,0.02%,RVP,Haryana
"BAUDHACHARYA KHAJAN SINGH GAUTAM",Faridabad,0.02%,RPIE,Haryana
MADESH.V,"Bangalore South",0.02%,RPIE,Haryana
"VITTHAL NANAJI GAIKWAD","Nagpur ",0.02%,RPIE,Haryana
"Nafees Ansari",Kalyan,0.02%,JLokP,"Madhya Pradesh"
V.THIRUNAVUKARASU,"Chennai South",0.02%,JLokP,"Madhya Pradesh"
G.DHANASEKARAN,"Chennai South",0.02%,JLokP,"Madhya Pradesh"
"PRABHA BHARTI",BHOPAL,0.02%,JLokP,"Madhya Pradesh"
"Ramdyal Dahariya",RAIPUR,0.02%,JLokP,"Madhya Pradesh"
"V. BAL KRISHNA",Hyderabad,0.02%,JLokP,"Madhya Pradesh"
"BHUPINDER KAUR",CHANDIGARH,0.02%,JLokP,"Madhya Pradesh"
"Nafees Ansari",Kalyan,0.02%,CHALP,"NCT OF Delhi"
V.THIRUNAVUKARASU,"Chennai South",0.02%,CHALP,"NCT OF Delhi"
G.DHANASEKARAN,"Chennai South",0.02%,CHALP,"NCT OF Delhi"
"PRABHA BHARTI",BHOPAL,0.02%,CHALP,"NCT OF Delhi"
"Ramdyal Dahariya",RAIPUR,0.02%,CHALP,"NCT OF Delhi"
"V. BAL KRISHNA",Hyderabad,0.02%,CHALP,"NCT OF Delhi"
"BHUPINDER KAUR",CHANDIGARH,0.02%,CHALP,"NCT OF Delhi"
"DESH KUMAR","SOUTH DELHI                   ",0.02%,DPPS,Karnataka
Krishan,Rohtak,0.02%,DPPS,Karnataka
"Hunsur K. ChandraShekar","Bangalore central",0.02%,DPPS,Karnataka
"JOHNY THAMPY",Thiruvananthapuram,0.02%,DPPS,Karnataka
"SHRIMATI HEMLATA PATHAK",BHOPAL,0.02%,DPPS,Karnataka
"BHAVANA KISHORE SANGELIYA",INDORE,0.02%,DPPS,Karnataka
"Tukaram Vyankati Chate",Beed,0.02%,DPPS,Karnataka
"Rajesh Kannan K",Karur,0.02%,DPPS,Karnataka
"DAN BAHADUR YADAV","NORTH EAST DELHI              ",0.02%,bjdi,"NCT OF Delhi"
"LAL JI","NEW DELHI                     ",0.02%,bjdi,"NCT OF Delhi"
"Happy Singh",Bhiwani-Mahendragarh,0.02%,bjdi,"NCT OF Delhi"
"BOBBY KATARIA",Faridabad,0.02%,bjdi,"NCT OF Delhi"
"Deepak Digambar Shinde","Mumbai North East",0.02%,MLJK,"Tamil Nadu"
MOHANAM,Vellore,0.02%,MLJK,"Tamil Nadu"
"KUMBALA SANJEEVA REDDY",Nizamabad,0.02%,MLJK,"Tamil Nadu"
"THIRUPATHI REDDY PANNALA",Nizamabad,0.02%,SJVP,"NCT OF Delhi"
"DORNALA JAYA PRAKASH",Secundrabad,0.02%,SJVP,"NCT OF Delhi"
"ANURUDDH KUMAR DUBE","NORTH EAST DELHI              ",0.02%,SJVP,"NCT OF Delhi"
"AMIT KUMAR SHARMA","NORTH EAST DELHI              ",0.02%,SJVP,"NCT OF Delhi"
"J . MALLESH",Secundrabad,0.02%,CoAP,"NCT OF Delhi"
"RAJ KARAN","NEW DELHI                     ",0.02%,CoAP,"NCT OF Delhi"
"MAHENDRA KUMAR",BHOPAL,0.02%,CoAP,"NCT OF Delhi"
T.DAVID,Vellore,0.02%,CoAP,"NCT OF Delhi"
"GOSKULA MAHESH BABU",Nizamabad,0.02%,RSVP,Rajasthan
"CHINTHALAPELLY GANGA REDDY",Nizamabad,0.02%,RSVP,Rajasthan
"P. Trilok Tiwari",Jaipur,0.02%,RSVP,Rajasthan
"CHAUDHARY DAYACHAND",Faridabad,0.02%,RSVP,Rajasthan
"ELETI SANJEEV REDDY",Nizamabad,0.02%,DKSP,Haryana
"RAVI KUMAR","EAST DELHI                    ",0.02%,DKSP,Haryana
"BIJENDER KUMAR",Sonipat,0.02%,DKSP,Haryana
"FOJI JAI KAWAR TYAGI (DIKSHIT)",Gurgaon,0.02%,DKSP,Haryana
"DHEER SINGH","CHANDNI CHOWK                 ",0.02%,ToP,Haryana
"NAVEEN KUMAR","NEW DELHI                     ",0.02%,ToP,Haryana
INDERJEET,Rohtak,0.02%,ToP,Haryana
"PRADEEP KUMAR",Faridabad,0.02%,ToP,Haryana
KUPPAL.G.DEVADOSS,"Chennai South",0.02%,ToP,Haryana
"JAIN WILSON",Thiruvananthapuram,0.01%,PRISM,"NCT OF Delhi"
"KOLA VENKATESH",Nizamabad,0.01%,GaAP,Karnataka
"ABHINAV KUMAR","NORTH EAST DELHI              ",0.01%,GaAP,Karnataka
D.Jairam,"Bangalore North",0.01%,GaAP,Karnataka
"C. RAVI KUMAR","Bangalore North",0.01%,DJHP,Maharashtra
"DIKSHITA ANAND TEMBHURNE","Nagpur ",0.01%,DJHP,Maharashtra
"SUMAN MAGGIDI",Nizamabad,0.01%,DJHP,Maharashtra
